data_split,vnf_profile,vCPU_cores,VNF_memory_MB,Link_Capacity_limit_Mbps,offered_load_pps,offered_load_mbps,VNF_cpu_utilization_pct,VNF_memory_utilization_pct,passive_processed_packets_per_sec,passive_alerts_per_sec,passive_daq_drops_per_sec,MQTT_package_latency_p99_ms,MQTT_package_loss_pct,MQTT_devices_connected
train,passive,4,768,85,15004.5243,84.9861,32.4851,31.5107,18947.8028,302.3333,0.0,0.031,0.1997,50.0
train,passive,1,896,100,16637.414,100.0384,86.0183,29.2319,17132.7847,300.3189,635.5705,0.0138,0.0,50.0
train,passive,4,384,55,11764.7645,54.993,30.694,50.2015,13357.2255,298.1001,0.0,0.0374,0.5995,50.0
train,passive,3,384,30,9018.1349,30.0028,40.0182,50.4438,9491.0712,302.3333,23.3001,20.2069,0.9275,50.0
train,passive,1,384,85,15013.6166,85.1056,87.5137,48.6048,16350.7825,302.3333,1512.2026,0.0111,0.2,50.0
train,passive,4,640,50,11185.9343,49.9797,29.3739,32.1772,15269.1419,302.3333,0.0,0.0728,0.6657,50.0
train,passive,3,896,50,11193.5056,49.9867,43.324,30.6821,13232.9866,285.2424,0.0,0.6784,0.6647,50.0
train,passive,1,768,50,11209.4108,49.9652,80.3078,29.7118,13704.585,302.3333,565.5694,0.0046,0.6667,50.0
train,passive,2,640,90,15554.8608,89.9487,61.9175,30.39,16134.8368,302.3333,49.1362,0.1548,0.1327,50.0
train,passive,4,1024,45,10649.1178,44.9903,30.5663,30.655,12016.8445,302.3333,0.0,0.0704,0.7327,50.0
train,passive,3,896,70,13366.7596,69.9355,45.8143,30.9847,17194.7361,300.0688,15.1302,0.4128,0.3988,50.0
train,passive,3,1024,30,9016.3591,30.0122,42.0942,29.0208,12855.498,302.3333,0.0,0.9488,0.9303,50.0
train,passive,2,896,40,10092.5546,39.998,56.0525,29.8828,9803.3801,288.9806,21.0697,0.2879,0.7988,50.0
train,passive,2,768,65,12826.5355,64.9754,59.4381,29.9865,13813.2644,302.3333,47.5192,0.3401,0.4653,50.0
train,passive,1,640,25,8518.7317,24.9684,78.5337,30.0624,11102.1937,302.3333,586.6618,0.0,1.0,50.0
train,passive,2,640,65,12836.8919,64.9962,59.5104,30.284,13606.5533,300.1515,22.9236,0.5064,0.4646,50.0
test,passive,4,256,25,8471.6667,24.9832,27.2278,67.4323,11384.9778,300.7333,0.0,0.0753,0.9992,50.0
train,passive,2,256,100,16620.8942,99.9421,68.2686,64.6675,16803.0678,302.3333,0.0,0.0138,0.0,50.0
train,passive,1,896,70,13379.5137,69.9878,81.4296,28.6749,17024.7793,302.3333,569.5131,0.0083,0.4,50.0
train,passive,4,896,90,15549.072,89.9775,32.8662,31.348,17800.5866,301.5925,0.0,0.0249,0.1332,50.0
train,passive,3,1024,30,9018.1489,30.0138,41.0563,29.0645,10928.7335,290.1043,0.0,0.9488,0.9303,50.0
train,passive,1,896,99999,19005.9876,127.1221,93.7856,28.8775,13208.3416,198.4889,3768.4826,0.0013,0.0,50.0
train,passive,2,1024,95,16073.3333,94.9121,61.5368,30.4409,15101.5403,291.2432,150.9517,0.0134,0.0667,50.0
train,passive,2,512,100,16660.8444,99.9681,62.7222,30.5343,16677.7111,299.9778,0.5111,0.0141,0.0,50.0
train,passive,1,768,80,14457.2143,79.9876,84.3935,30.2289,16974.0199,302.3333,567.1674,0.01,0.2667,50.0
train,passive,4,768,65,12824.02,64.9969,31.1289,32.0496,15201.1792,302.3333,0.0,0.0534,0.4661,50.0
train,passive,4,256,99999,19024.2128,127.4475,37.1649,66.881,17963.1763,288.1185,0.0,0.0016,0.0,50.0
train,passive,1,512,50,11225.931,49.9643,81.7788,31.0987,14640.6155,302.3333,525.3516,0.0045,0.6667,50.0
train,passive,2,384,80,14478.6074,79.9615,63.3198,47.6865,15002.0247,302.3333,9.4937,1.317,0.2655,50.0
